Title,Author,Rating,Date Completed,Get Cover Image,Cover Image,Currently Reading,Genre,Topic,Notes,Date Started
Suttree,"McCarthy, Cormac",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/reczBb04acAYV7f2E?blocks=bliATv69IO4BqYexJ,,,,,,
The Adventures of Huckleberry Finn,"Twain, Mark",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rechibFXMOGAxXHrB?blocks=bliATv69IO4BqYexJ,,,,,,
The Adventures of Tom Sawyer,"Twain, Mark",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recDztF70SxkX7xbq?blocks=bliATv69IO4BqYexJ,,,,,,
The Alchemist,"Coelho, Paulo *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recD0kuTv17CHJAxz?blocks=bliATv69IO4BqYexJ,,,,,,
The Big Picture: The Fight for the Future of Movies,"Fritz, Ben *",4,11/2/2020,https://airtable.com/tblFKk2Z5THzqPENb/recnraUK6ePIigCWY?blocks=bliATv69IO4BqYexJ,,,,,,
The Big Short: Inside the Doomsday Machine,"Lewis, Michael",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recm7WgeH2x7A5QVu?blocks=bliATv69IO4BqYexJ,,,,,,
The Book of Basketball: The NBA According to The Sports Guy,"Simmons, Bill",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/rec9DPr1R0GFoNQdw?blocks=bliATv69IO4BqYexJ,,,,,,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"Brown, Daniel James *",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recBCoB5GgnGD8fsz?blocks=bliATv69IO4BqYexJ,,,,,,
The Catcher in the Rye,"Salinger, J.D.",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recLZFyBTKv2SzKzj?blocks=bliATv69IO4BqYexJ,,,,,,
The Corrections,"Franzen, Jonathan",4,4/14/2015,https://airtable.com/tblFKk2Z5THzqPENb/recDug5saxbEpRo8W?blocks=bliATv69IO4BqYexJ,,,,,,
